Field Descriptor,Label,Data Type,Units,Scalar,Cumulative Value?,equipment group,Facility Main?
6-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,Battery Charger 1,No
6-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,Battery Charger 1,No
6-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,Battery Charger 1,No
6-41,Imported VAh Sum,Numeric,kVAh,1,no,Battery Charger 1,No
6-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,Battery Charger 1,No
6-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,Battery Charger 1,No
6-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,Battery Charger 1,No
6-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,Battery Charger 1,No
6-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,Battery Charger 1,No
6-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,Battery Charger 1,No
6-48,imported VARh Q1 (C),Numeric,kVARh,1,no,Battery Charger 1,No
6-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,Battery Charger 1,No
6-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,Battery Charger 1,No
6-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,Battery Charger 1,No
6-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,Battery Charger 1,No
6-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,Battery Charger 1,No
6-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,Battery Charger 1,No
6-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,Battery Charger 1,No
6-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,Battery Charger 1,No
6-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,Battery Charger 1,No
6-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,Battery Charger 1,No
6-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,Battery Charger 1,No
6-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,Battery Charger 1,No
6-61,Watt Demand Element,Numeric,kW,1,no,Battery Charger 1,No
7-0,Current (A),Numeric,A,1,no,Battery Charger 2,No
7-1,Current CH1 (A),Numeric,A,1,no,Battery Charger 2,No
7-2,Current CH2 (B),Numeric,A,1,no,Battery Charger 2,No
7-3,Current CH3 (C),Numeric,A,1,no,Battery Charger 2,No
7-4,L-N Voltage (V),Numeric,V,1,no,Battery Charger 2,No
7-5,Voltage L1-N (AN),Numeric,V,1,no,Battery Charger 2,No
7-6,Voltage L2-N (BN),Numeric,V,1,no,Battery Charger 2,No
7-7,Voltage L3-N (CN),Numeric,V,1,no,Battery Charger 2,No
7-8,L-L Voltage (V),Numeric,V,1,no,Battery Charger 2,No
7-9,Voltage L1-L2,Numeric,V,1,no,Battery Charger 2,No
7-10,Voltage L2-L3,Numeric,V,1,no,Battery Charger 2,No
7-11,Voltage L3-L1,Numeric,V,1,no,Battery Charger 2,No
7-12,Line Frequency,Numeric,Hz,1,no,Battery Charger 2,No
7-13,Demand (kW),Numeric,kW,1,no,Battery Charger 2,No
7-14,Power CH1 (A),Numeric,kW,1,no,Battery Charger 2,No
7-15,Power CH2 (B),Numeric,kW,1,no,Battery Charger 2,No
7-16,Power CH3 (C),Numeric,kW,1,no,Battery Charger 2,No
7-17,Apparent Power (kVA),Numeric,kVA,1,no,Battery Charger 2,No
7-18,VA CH1 (A),Numeric,kVA,1,no,Battery Charger 2,No
7-19,VA CH2 (B),Numeric,kVA,1,no,Battery Charger 2,No
7-20,VA CH3 (C),Numeric,kVA,1,no,Battery Charger 2,No
7-21,Reactive Power (kVAR),Numeric,kVAR,1,no,Battery Charger 2,No
7-22,VAR CH1 (A),Numeric,kVAR,1,no,Battery Charger 2,No
7-23,VAR CH2 (B),Numeric,kVAR,1,no,Battery Charger 2,No
7-24,VAR CH3 (C),Numeric,kVAR,1,no,Battery Charger 2,No
7-25,Power Factor (%),Numeric,,1,no,Battery Charger 2,No
7-26,Apparent PF CH1 (A),Numeric,,1,no,Battery Charger 2,No
7-27,Apparent PF CH2 (B),Numeric,,1,no,Battery Charger 2,No
7-28,Apparent PF CH3 (C),Numeric,,1,no,Battery Charger 2,No
7-29,Exported Energy Sum,Numeric,kWh,1,no,Battery Charger 2,No
7-30,Exported Energy CH1 (A),Numeric,kWh,1,no,Battery Charger 2,No
7-31,Exported Energy CH2 (B),Numeric,kWh,1,no,Battery Charger 2,No
7-32,Exported Energy CH3 (C),Numeric,kWh,1,no,Battery Charger 2,No
7-33,Cumulative Usage (kWh),Numeric,kWh,1,no,Battery Charger 2,No
7-34,Imported Energy CH1 (A),Numeric,kWh,1,no,Battery Charger 2,No
7-35,Imported Energy CH2 (B),Numeric,kWh,1,no,Battery Charger 2,No
7-36,Imported Energy CH3 (C),Numeric,kWh,1,no,Battery Charger 2,No
7-37,Exported VAh Sum,Numeric,kVAh,1,no,Battery Charger 2,No
7-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,Battery Charger 2,No
7-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,Battery Charger 2,No
7-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,Battery Charger 2,No
7-41,Imported VAh Sum,Numeric,kVAh,1,no,Battery Charger 2,No
7-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,Battery Charger 2,No
7-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,Battery Charger 2,No
7-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,Battery Charger 2,No
7-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,Battery Charger 2,No
7-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,Battery Charger 2,No
7-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,Battery Charger 2,No
7-48,imported VARh Q1 (C),Numeric,kVARh,1,no,Battery Charger 2,No
7-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,Battery Charger 2,No
7-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,Battery Charger 2,No
7-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,Battery Charger 2,No
7-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,Battery Charger 2,No
7-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,Battery Charger 2,No
7-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,Battery Charger 2,No
7-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,Battery Charger 2,No
7-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,Battery Charger 2,No
7-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,Battery Charger 2,No
7-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,Battery Charger 2,No
7-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,Battery Charger 2,No
7-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,Battery Charger 2,No
7-61,Watt Demand Element,Numeric,kW,1,no,Battery Charger 2,No
8-0,Current (A),Numeric,A,1,no,Main Service 2,Yes
8-1,Current CH1 (A),Numeric,A,1,no,Main Service 2,Yes
8-2,Current CH2 (B),Numeric,A,1,no,Main Service 2,Yes
8-3,Current CH3 (C),Numeric,A,1,no,Main Service 2,Yes
8-4,L-N Voltage (V),Numeric,V,1,no,Main Service 2,Yes
8-5,Voltage L1-N (AN),Numeric,V,1,no,Main Service 2,Yes
8-6,Voltage L2-N (BN),Numeric,V,1,no,Main Service 2,Yes
8-7,Voltage L3-N (CN),Numeric,V,1,no,Main Service 2,Yes
8-8,L-L Voltage (V),Numeric,V,1,no,Main Service 2,Yes
8-9,Voltage L1-L2,Numeric,V,1,no,Main Service 2,Yes
8-10,Voltage L2-L3,Numeric,V,1,no,Main Service 2,Yes
8-11,Voltage L3-L1,Numeric,V,1,no,Main Service 2,Yes
8-12,Line Frequency,Numeric,Hz,1,no,Main Service 2,Yes
8-13,Demand (kW),Numeric,kW,1,no,Main Service 2,Yes
8-14,Power CH1 (A),Numeric,kW,1,no,Main Service 2,Yes
8-15,Power CH2 (B),Numeric,kW,1,no,Main Service 2,Yes
8-16,Power CH3 (C),Numeric,kW,1,no,Main Service 2,Yes
8-17,Apparent Power (kVA),Numeric,kVA,1,no,Main Service 2,Yes
8-18,VA CH1 (A),Numeric,kVA,1,no,Main Service 2,Yes
8-19,VA CH2 (B),Numeric,kVA,1,no,Main Service 2,Yes
8-20,VA CH3 (C),Numeric,kVA,1,no,Main Service 2,Yes
8-21,Reactive Power (kVAR),Numeric,kVAR,1,no,Main Service 2,Yes
8-22,VAR CH1 (A),Numeric,kVAR,1,no,Main Service 2,Yes
8-23,VAR CH2 (B),Numeric,kVAR,1,no,Main Service 2,Yes
8-24,VAR CH3 (C),Numeric,kVAR,1,no,Main Service 2,Yes
8-25,Power Factor (%),Numeric,,1,no,Main Service 2,Yes
8-26,Apparent PF CH1 (A),Numeric,,1,no,Main Service 2,Yes
8-27,Apparent PF CH2 (B),Numeric,,1,no,Main Service 2,Yes
8-28,Apparent PF CH3 (C),Numeric,,1,no,Main Service 2,Yes
8-29,Exported Energy Sum,Numeric,kWh,1,no,Main Service 2,Yes
8-30,Exported Energy CH1 (A),Numeric,kWh,1,no,Main Service 2,Yes
8-31,Exported Energy CH2 (B),Numeric,kWh,1,no,Main Service 2,Yes
8-32,Exported Energy CH3 (C),Numeric,kWh,1,no,Main Service 2,Yes
8-33,Cumulative Usage (kWh),Numeric,kWh,1,no,Main Service 2,Yes
8-34,Imported Energy CH1 (A),Numeric,kWh,1,no,Main Service 2,Yes
8-35,Imported Energy CH2 (B),Numeric,kWh,1,no,Main Service 2,Yes
8-36,Imported Energy CH3 (C),Numeric,kWh,1,no,Main Service 2,Yes
8-37,Exported VAh Sum,Numeric,kVAh,1,no,Main Service 2,Yes
8-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,Main Service 2,Yes
8-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,Main Service 2,Yes
8-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,Main Service 2,Yes
8-41,Imported VAh Sum,Numeric,kVAh,1,no,Main Service 2,Yes
8-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,Main Service 2,Yes
8-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,Main Service 2,Yes
8-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,Main Service 2,Yes
8-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,Main Service 2,Yes
8-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,Main Service 2,Yes
8-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,Main Service 2,Yes
8-48,imported VARh Q1 (C),Numeric,kVARh,1,no,Main Service 2,Yes
8-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,Main Service 2,Yes
8-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,Main Service 2,Yes
8-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,Main Service 2,Yes
8-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,Main Service 2,Yes
8-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,Main Service 2,Yes
8-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,Main Service 2,Yes
8-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,Main Service 2,Yes
8-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,Main Service 2,Yes
8-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,Main Service 2,Yes
8-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,Main Service 2,Yes
8-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,Main Service 2,Yes
8-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,Main Service 2,Yes
8-61,Watt Demand Element,Numeric,kW,1,no,Main Service 2,Yes
9-0,Current (A),Numeric,A,1,no,Compressor C-1,No
9-1,Current CH1 (A),Numeric,A,1,no,Compressor C-1,No
9-2,Current CH2 (B),Numeric,A,1,no,Compressor C-1,No
9-3,Current CH3 (C),Numeric,A,1,no,Compressor C-1,No
9-4,L-N Voltage (V),Numeric,V,1,no,Compressor C-1,No
9-5,Voltage L1-N (AN),Numeric,V,1,no,Compressor C-1,No
9-6,Voltage L2-N (BN),Numeric,V,1,no,Compressor C-1,No
9-7,Voltage L3-N (CN),Numeric,V,1,no,Compressor C-1,No
9-8,L-L Voltage (V),Numeric,V,1,no,Compressor C-1,No
9-9,Voltage L1-L2,Numeric,V,1,no,Compressor C-1,No
9-10,Voltage L2-L3,Numeric,V,1,no,Compressor C-1,No
9-11,Voltage L3-L1,Numeric,V,1,no,Compressor C-1,No
9-12,Line Frequency,Numeric,Hz,1,no,Compressor C-1,No
9-13,Demand (kW),Numeric,kW,1,no,Compressor C-1,No
9-14,Power CH1 (A),Numeric,kW,1,no,Compressor C-1,No
9-15,Power CH2 (B),Numeric,kW,1,no,Compressor C-1,No
9-16,Power CH3 (C),Numeric,kW,1,no,Compressor C-1,No
9-17,Apparent Power (kVA),Numeric,kVA,1,no,Compressor C-1,No
9-18,VA CH1 (A),Numeric,kVA,1,no,Compressor C-1,No
9-19,VA CH2 (B),Numeric,kVA,1,no,Compressor C-1,No
9-20,VA CH3 (C),Numeric,kVA,1,no,Compressor C-1,No
9-21,Reactive Power (kVAR),Numeric,kVAR,1,no,Compressor C-1,No
9-22,VAR CH1 (A),Numeric,kVAR,1,no,Compressor C-1,No
9-23,VAR CH2 (B),Numeric,kVAR,1,no,Compressor C-1,No
9-24,VAR CH3 (C),Numeric,kVAR,1,no,Compressor C-1,No
9-25,Power Factor (%),Numeric,,1,no,Compressor C-1,No
9-26,Apparent PF CH1 (A),Numeric,,1,no,Compressor C-1,No
9-27,Apparent PF CH2 (B),Numeric,,1,no,Compressor C-1,No
9-28,Apparent PF CH3 (C),Numeric,,1,no,Compressor C-1,No
9-29,Exported Energy Sum,Numeric,kWh,1,no,Compressor C-1,No
9-30,Exported Energy CH1 (A),Numeric,kWh,1,no,Compressor C-1,No
9-31,Exported Energy CH2 (B),Numeric,kWh,1,no,Compressor C-1,No
9-32,Exported Energy CH3 (C),Numeric,kWh,1,no,Compressor C-1,No
9-33,Cumulative Usage (kWh),Numeric,kWh,1,no,Compressor C-1,No
9-34,Imported Energy CH1 (A),Numeric,kWh,1,no,Compressor C-1,No
9-35,Imported Energy CH2 (B),Numeric,kWh,1,no,Compressor C-1,No
9-36,Imported Energy CH3 (C),Numeric,kWh,1,no,Compressor C-1,No
9-37,Exported VAh Sum,Numeric,kVAh,1,no,Compressor C-1,No
9-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,Compressor C-1,No
9-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,Compressor C-1,No
9-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,Compressor C-1,No
9-41,Imported VAh Sum,Numeric,kVAh,1,no,Compressor C-1,No
9-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,Compressor C-1,No
9-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,Compressor C-1,No
9-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,Compressor C-1,No
9-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,Compressor C-1,No
9-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,Compressor C-1,No
9-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,Compressor C-1,No
9-48,imported VARh Q1 (C),Numeric,kVARh,1,no,Compressor C-1,No
9-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,Compressor C-1,No
9-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,Compressor C-1,No
9-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,Compressor C-1,No
9-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,Compressor C-1,No
9-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,Compressor C-1,No
9-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,Compressor C-1,No
9-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,Compressor C-1,No
9-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,Compressor C-1,No
9-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,Compressor C-1,No
9-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,Compressor C-1,No
9-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,Compressor C-1,No
9-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,Compressor C-1,No
9-61,Watt Demand Element,Numeric,kW,1,no,Compressor C-1,No
10-0,Current (A),Numeric,A,1,no,Compressor C-4,No
10-1,Current CH1 (A),Numeric,A,1,no,Compressor C-4,No
10-2,Current CH2 (B),Numeric,A,1,no,Compressor C-4,No
10-3,Current CH3 (C),Numeric,A,1,no,Compressor C-4,No
10-4,L-N Voltage (V),Numeric,V,1,no,Compressor C-4,No
10-5,Voltage L1-N (AN),Numeric,V,1,no,Compressor C-4,No
10-6,Voltage L2-N (BN),Numeric,V,1,no,Compressor C-4,No
10-7,Voltage L3-N (CN),Numeric,V,1,no,Compressor C-4,No
10-8,L-L Voltage (V),Numeric,V,1,no,Compressor C-4,No
10-9,Voltage L1-L2,Numeric,V,1,no,Compressor C-4,No
10-10,Voltage L2-L3,Numeric,V,1,no,Compressor C-4,No
10-11,Voltage L3-L1,Numeric,V,1,no,Compressor C-4,No
10-12,Line Frequency,Numeric,Hz,1,no,Compressor C-4,No
10-13,Demand (kW),Numeric,kW,1,no,Compressor C-4,No
10-14,Power CH1 (A),Numeric,kW,1,no,Compressor C-4,No
10-15,Power CH2 (B),Numeric,kW,1,no,Compressor C-4,No
10-16,Power CH3 (C),Numeric,kW,1,no,Compressor C-4,No
10-17,Apparent Power (kVA),Numeric,kVA,1,no,Compressor C-4,No
10-18,VA CH1 (A),Numeric,kVA,1,no,Compressor C-4,No
10-19,VA CH2 (B),Numeric,kVA,1,no,Compressor C-4,No
10-20,VA CH3 (C),Numeric,kVA,1,no,Compressor C-4,No
10-21,Reactive Power (kVAR),Numeric,kVAR,1,no,Compressor C-4,No
10-22,VAR CH1 (A),Numeric,kVAR,1,no,Compressor C-4,No
10-23,VAR CH2 (B),Numeric,kVAR,1,no,Compressor C-4,No
10-24,VAR CH3 (C),Numeric,kVAR,1,no,Compressor C-4,No
10-25,Power Factor (%),Numeric,,1,no,Compressor C-4,No
10-26,Apparent PF CH1 (A),Numeric,,1,no,Compressor C-4,No
10-27,Apparent PF CH2 (B),Numeric,,1,no,Compressor C-4,No
10-28,Apparent PF CH3 (C),Numeric,,1,no,Compressor C-4,No
10-29,Exported Energy Sum,Numeric,kWh,1,no,Compressor C-4,No
10-30,Exported Energy CH1 (A),Numeric,kWh,1,no,Compressor C-4,No
10-31,Exported Energy CH2 (B),Numeric,kWh,1,no,Compressor C-4,No
10-32,Exported Energy CH3 (C),Numeric,kWh,1,no,Compressor C-4,No
10-33,Cumulative Usage (kWh),Numeric,kWh,1,no,Compressor C-4,No
10-34,Imported Energy CH1 (A),Numeric,kWh,1,no,Compressor C-4,No
10-35,Imported Energy CH2 (B),Numeric,kWh,1,no,Compressor C-4,No
10-36,Imported Energy CH3 (C),Numeric,kWh,1,no,Compressor C-4,No
10-37,Exported VAh Sum,Numeric,kVAh,1,no,Compressor C-4,No
10-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,Compressor C-4,No
10-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,Compressor C-4,No
10-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,Compressor C-4,No
10-41,Imported VAh Sum,Numeric,kVAh,1,no,Compressor C-4,No
10-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,Compressor C-4,No
10-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,Compressor C-4,No
10-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,Compressor C-4,No
10-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,Compressor C-4,No
10-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,Compressor C-4,No
10-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,Compressor C-4,No
10-48,imported VARh Q1 (C),Numeric,kVARh,1,no,Compressor C-4,No
10-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,Compressor C-4,No
10-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,Compressor C-4,No
10-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,Compressor C-4,No
10-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,Compressor C-4,No
10-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,Compressor C-4,No
10-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,Compressor C-4,No
10-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,Compressor C-4,No
10-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,Compressor C-4,No
10-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,Compressor C-4,No
10-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,Compressor C-4,No
10-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,Compressor C-4,No
10-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,Compressor C-4,No
10-61,Watt Demand Element,Numeric,kW,1,no,Compressor C-4,No
11-0,Current (A),Numeric,A,1,no,EC-1 Fan,No
11-1,Current CH1 (A),Numeric,A,1,no,EC-1 Fan,No
11-2,Current CH2 (B),Numeric,A,1,no,EC-1 Fan,No
11-3,Current CH3 (C),Numeric,A,1,no,EC-1 Fan,No
11-4,L-N Voltage (V),Numeric,V,1,no,EC-1 Fan,No
11-5,Voltage L1-N (AN),Numeric,V,1,no,EC-1 Fan,No
11-6,Voltage L2-N (BN),Numeric,V,1,no,EC-1 Fan,No
11-7,Voltage L3-N (CN),Numeric,V,1,no,EC-1 Fan,No
11-8,L-L Voltage (V),Numeric,V,1,no,EC-1 Fan,No
11-9,Voltage L1-L2,Numeric,V,1,no,EC-1 Fan,No
11-10,Voltage L2-L3,Numeric,V,1,no,EC-1 Fan,No
11-11,Voltage L3-L1,Numeric,V,1,no,EC-1 Fan,No
11-12,Line Frequency,Numeric,Hz,1,no,EC-1 Fan,No
11-13,Demand (kW),Numeric,kW,1,no,EC-1 Fan,No
11-14,Power CH1 (A),Numeric,kW,1,no,EC-1 Fan,No
11-15,Power CH2 (B),Numeric,kW,1,no,EC-1 Fan,No
11-16,Power CH3 (C),Numeric,kW,1,no,EC-1 Fan,No
11-17,Apparent Power (kVA),Numeric,kVA,1,no,EC-1 Fan,No
11-18,VA CH1 (A),Numeric,kVA,1,no,EC-1 Fan,No
11-19,VA CH2 (B),Numeric,kVA,1,no,EC-1 Fan,No
11-20,VA CH3 (C),Numeric,kVA,1,no,EC-1 Fan,No
11-21,Reactive Power (kVAR),Numeric,kVAR,1,no,EC-1 Fan,No
11-22,VAR CH1 (A),Numeric,kVAR,1,no,EC-1 Fan,No
11-23,VAR CH2 (B),Numeric,kVAR,1,no,EC-1 Fan,No
11-24,VAR CH3 (C),Numeric,kVAR,1,no,EC-1 Fan,No
11-25,Power Factor (%),Numeric,,1,no,EC-1 Fan,No
11-26,Apparent PF CH1 (A),Numeric,,1,no,EC-1 Fan,No
11-27,Apparent PF CH2 (B),Numeric,,1,no,EC-1 Fan,No
11-28,Apparent PF CH3 (C),Numeric,,1,no,EC-1 Fan,No
11-29,Exported Energy Sum,Numeric,kWh,1,no,EC-1 Fan,No
11-30,Exported Energy CH1 (A),Numeric,kWh,1,no,EC-1 Fan,No
11-31,Exported Energy CH2 (B),Numeric,kWh,1,no,EC-1 Fan,No
11-32,Exported Energy CH3 (C),Numeric,kWh,1,no,EC-1 Fan,No
11-33,Cumulative Usage (kWh),Numeric,kWh,1,no,EC-1 Fan,No
11-34,Imported Energy CH1 (A),Numeric,kWh,1,no,EC-1 Fan,No
11-35,Imported Energy CH2 (B),Numeric,kWh,1,no,EC-1 Fan,No
11-36,Imported Energy CH3 (C),Numeric,kWh,1,no,EC-1 Fan,No
11-37,Exported VAh Sum,Numeric,kVAh,1,no,EC-1 Fan,No
11-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,EC-1 Fan,No
11-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,EC-1 Fan,No
11-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,EC-1 Fan,No
11-41,Imported VAh Sum,Numeric,kVAh,1,no,EC-1 Fan,No
11-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,EC-1 Fan,No
11-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,EC-1 Fan,No
11-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,EC-1 Fan,No
11-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,EC-1 Fan,No
11-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,EC-1 Fan,No
11-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,EC-1 Fan,No
11-48,imported VARh Q1 (C),Numeric,kVARh,1,no,EC-1 Fan,No
11-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,EC-1 Fan,No
11-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,EC-1 Fan,No
11-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,EC-1 Fan,No
11-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,EC-1 Fan,No
11-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,EC-1 Fan,No
11-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,EC-1 Fan,No
11-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,EC-1 Fan,No
11-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,EC-1 Fan,No
11-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,EC-1 Fan,No
11-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,EC-1 Fan,No
11-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,EC-1 Fan,No
11-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,EC-1 Fan,No
11-61,Watt Demand Element,Numeric,kW,1,no,EC-1 Fan,No
12-0,Current (A),Numeric,A,1,no,EC-1 Pump,No
12-1,Current CH1 (A),Numeric,A,1,no,EC-1 Pump,No
12-2,Current CH2 (B),Numeric,A,1,no,EC-1 Pump,No
12-3,Current CH3 (C),Numeric,A,1,no,EC-1 Pump,No
12-4,L-N Voltage (V),Numeric,V,1,no,EC-1 Pump,No
12-5,Voltage L1-N (AN),Numeric,V,1,no,EC-1 Pump,No
12-6,Voltage L2-N (BN),Numeric,V,1,no,EC-1 Pump,No
12-7,Voltage L3-N (CN),Numeric,V,1,no,EC-1 Pump,No
12-8,L-L Voltage (V),Numeric,V,1,no,EC-1 Pump,No
12-9,Voltage L1-L2,Numeric,V,1,no,EC-1 Pump,No
12-10,Voltage L2-L3,Numeric,V,1,no,EC-1 Pump,No
12-11,Voltage L3-L1,Numeric,V,1,no,EC-1 Pump,No
12-12,Line Frequency,Numeric,Hz,1,no,EC-1 Pump,No
12-13,Demand (kW),Numeric,kW,1,no,EC-1 Pump,No
12-14,Power CH1 (A),Numeric,kW,1,no,EC-1 Pump,No
12-15,Power CH2 (B),Numeric,kW,1,no,EC-1 Pump,No
12-16,Power CH3 (C),Numeric,kW,1,no,EC-1 Pump,No
12-17,Apparent Power (kVA),Numeric,kVA,1,no,EC-1 Pump,No
12-18,VA CH1 (A),Numeric,kVA,1,no,EC-1 Pump,No
12-19,VA CH2 (B),Numeric,kVA,1,no,EC-1 Pump,No
12-20,VA CH3 (C),Numeric,kVA,1,no,EC-1 Pump,No
12-21,Reactive Power (kVAR),Numeric,kVAR,1,no,EC-1 Pump,No
12-22,VAR CH1 (A),Numeric,kVAR,1,no,EC-1 Pump,No
12-23,VAR CH2 (B),Numeric,kVAR,1,no,EC-1 Pump,No
12-24,VAR CH3 (C),Numeric,kVAR,1,no,EC-1 Pump,No
